,@EswatiniGovern1,@MalawiGovt,@hagegeingob,@FinanceSC,@PresidencyZA,@mohzambia,@edmnangagwa,@MinSantedj,@hawelti,@StateHouseKenya,@PaulKagame,@M_Farmaajo,@SouthSudanGov,@SudanPMHamdok,@TZSpokesperson,@KagutaMuseveni,@angola_Mirex,@willynyamitwe,@Cherif_MZ,@Presidence_RDC,@PresidentABO,@PresidenceBenin,@rochkaborepf,@PresidenciaCV,@AOuattara_PRCI,@Presidency_GMB,@NAkufoAddo,@President_GN,@USEmbalo,@PresidenceMali,@CheikhGhazouani,@IssoufouMhm,@MBuhari,@Macky_Sall,@PresidentBio,@MSPS_Togo
362,COVID19,Russia,,,Ramaphosa,MalariaEndsWithMe,,Turquie,Eritrea,Innovate4Change,,,,,,,,Burundi,,RDC,DirectABO,Covid19bj,BurkinaFaso,,CI_UNSCI,Mohammed,Kagame,,échange,Mali,,,,G7Charlevoix,,
363,COVID19,Sochi,,,Ramaphosa,5MedicalInfrastructure,,ministredelasante,Eritrea,NationalPrayerBreakfast,,,,,,,,Burundi,,RwandaOuganda,DirectABO,Coronavirus,Burkina,,CI_UNSCI,DevelopGambia,Africa,,GuinéeBissau,IBK,,,,G7Charlevoix,,
364,COVID19,Malawi,,,Ramaphosa,6HealthInformation,,hôpitalAnkara,Mogadishu,AffordableHousing,,,,,,,,EvaristeNdayishimiye,,Gatuna,DirectABO,wasexo,lwili,,CI_UNSCI,TheGambia,SDGsAfricaRoundtable,,UNGA,IBK,,,,Climat,,
365,COVID19,Information,,,Ramaphosa,7Leadership,,lanation,Somalia,AffordableHousing,,,,,,,,BurundiElection,,Katuna,DirectABO,Coronavirus,Niger,,LI62DAKAR,UN,Ghana,,Guinea,IBK,,,,Francophonie,,
366,ResourceMobilisation,Communications,,,Ramaphosa,1ServiceDelivery,,djibouti,Eritrea,UNHabitatAssembly,,,,,,,,PierreNkurunziza,,Quadripartite,DirectABO,COVID19,Mali,,UnionAfricaine,AUSummit,SDGsAfricaRoundtable,,GuinéeBissau,IBK,,,,BurkinaFaso,,
367,COVID19,Technology,,,Ramaphosa,2HumanResourcesForHealth,,ministredelaSanté,Eritrea,UNHabitatAssembly,,,,,,,,ÉvaristeNdayishimiye,,RDC,DirectABO,CORONAVIRUS,Tchad,,prci,AUSummit,Agenda2063,,Bissau,IBK,,,,Sénégal,,
368,COVID19,Malawi,,,Ramaphosa,3SupplyChainForVaccines,,Turquie,Eritrean,UNHabitatAssembly,,,,,,,,RDC,,Frontière,DirectABO,CORONAVIRUS,G5Sahel,,prci,AUSummit,SDGs,,GuinéeBissau,IBK,,,,Afrique,,
369,COVID19,AU,,,Ramaphosa,Lusaka,,lanation,Eritrea,UNHabitatAssembly,,,,,,,,Burundi,,RwandaOuganda,DirectABO,Covid19bj,BurkinaFaso,,prci,AUSummit,SDGsAfricaRoundtable,,Afrique,Mali,,,,kebetu,,
370,COVID19,Agriculture,,,Ramaphosa,15August2017,,djibouti,Eritrea,Nairobi,,,,,,,,Burundi,,Gatuna,DirectABO,wasexo,G5Sahel,,prci,AU,SDGsAfricaRoundtable,,Africanews,IBK,,,,Palestine,,
371,COVID19,Tanzania,,,Ramaphosa,theme,,lanation,Travel,Kenya,,,,,,,,EvaristeNdayishimiye,,Katuna,Gabon2016,teamBénin,G5Sahel,,prci,StateHouseToday,SDGsAfricaRoundtable,,GuinéeBissau,Mali,,,,HubAfrica2018,,
372,COVID19,Malawi,,,Ramaphosa,CampaignAimed,,djibouti,Tourism,Project254,,,,,,,,Burundi,,4emeQuadripartite,DirectABO,Team229,G5Sahel,,G20Afrique,AccessToInformation,SDGsAfricaRoundtable,,Afrique,IBK,,,,kebetu,,
373,COVID19,Malawi,,,Ramaphosa,Census,,lanation,Africa,KenyaMbele,,,,,,,,RDC,,CommuniquéFinal,Gabon,Covid19bj,Mauritanie,,SOE2018,NDP,SDGsAfricaRoundtable,,IndependenceDay,IBK,,,,MessageNationSN,,
374,COVID19,African,,,Ramaphosa,newlyformed,,djibouti,Asmara,MovingForwardKe,,,,,,,,Burundi,,RDC,Gabon,coronavirus,G5Sahel,,RHDP,Faraba,OneYearOn,,anniversaire,IBK,,,,NEF2018,,
375,COVID19,RussiaAfricaSummit,,,Ramaphosa,ChildHealthWeek,,allaitementmaternel,Eritrea,SharedValue,,,,,,,,FakeNews,,kigali,Gabon,Covid19bj,BurkinaFaso,,prci,StateHouseToday,NationalThanksgivingService,,Nigeria,Mali,,,,NEF2018,,
376,COVID19,RUSSIAAFRICA,,,Ramaphosa,ChildHealthWeek,,ministèredelasanté,Eritrea,investment,,,,,,,,Burundi,,RDC,Gabon,wasexo,G5Sahel,,prci,Turkish,SDG4,,UNGA72,Maroc,,,,parlementdurire,,
377,COVID19,Russia,,,Ramaphosa,Nearest,,lanation,AfricaCyclingCup,SharedValue,,,,,,,,Somalie,,RDC,Gabon,team229,BurkinaFaso,,prci,week,EducationForAll,,UNGA,IBK,,,,20mars,,
378,COVID19,Russia,,,Ramaphosa,Saddened,,djibouti,Eritrea,SharedValue,,,,,,,,BurundiElections2020,,CiteUA,Gabon,Covid19bj,Faso,,prci,Turkey,FreeSHSisHereToStay,,GuinéeBissau,IBK,,,,Diamniadio,,
379,COVID19,Malawi,,,Ramaphosa,ChildHealthWeek,,Djibouti,Eritrea,ASVS19,,,,,,,,Burundi,,RDC,Gabon,wasexo,Burkina,,Indépendance2018,Banjul,NationalFarmersDay2017,,UN,Nigeria,,,,8mars,,
380,COVID19,Malawi,,,Ramaphosa,Catch,,AMS2019,Eritrea,ASVS19,,,,,,,,Burundi,,RDC,Gabon,team229,VoeuxPTFs,,Indépendance2018,Turkish,FreeSHSisHereToStay,,Africa,Bamako,,,,Ouagadougou,,
381,COVID19,WaterForAll,,,Ramaphosa,Growth,,GENEVE,Eritrea,Big4Agenda,,,,,,,,Burundi,,RDC,Gabon,Covid19bj,VoeuxPTFs,,Independance2018,StateHouseToday,FreeSHSisHereToStay,,UNGA,Nouakchott,,,,DiscoursNouvelAnSn,,
382,COVID19,Ebola,,,Ramaphosa,ChildHealthWeek,,WHA72,Eritrea,Big4Agenda,,,,,,,,Burundi,,e_RDC,Gabon,wasexo,BurkinaFaso,,Indépendance2018,Turkey,AfricaBeyondAid,,UN,IBK,,,,WorldCup2018,,
383,COVID19,MBC,,,Ramaphosa,recieve,,WHA72,Eritrea,Geneva,,,,,,,,Burundi,,Cérémonie,Gabon,teamBénin,Yirgou,,Indépendance2018,VDC,AliuMahama5YearsOn,,UNGA72,IBK,,,,Tokyo,,
384,COVID19,Sussex,,,Ramaphosa,Partners,,Cuba,Ethiopia,BeyondZero,,,,,,,,Burundi,,Ouverture,Gabon,Covid19bj,BurkinaFaso,,Indépendance2018,HRights,WISE17,,GuinéeBissau,IBK,,,,AccorddeParis,,
385,COVID19,RoyalVisitMalawi,,,Ramaphosa,Nationalwide,,Djibouti,Eritrea,UniversalHealthCoverage,,,,,,,,Burundi,,InvestirDansLeNumérique,Gabon,wasexo,lwili,,Indépendance2018,StateHouseToday,WISE17,,UNGA,IBK,,,,OuvertureAIBD7Décembre,,
386,COVID19,PrinceHarry,,,Ramaphosa,WHO,,Genève,Eritrea,HealthForAll,,,,,,,,Burundi,,DRC,Gabon,teamBénin,BurkinaFaso,,Indépendance2018,StatehouseToday,GHBudget2018,,AGNU,Koulikoro,,,,AIBD,,
387,COVID19,SussexRoyalTour,,,Ramaphosa,lastconfirmedpatient,,WHA72,Ethiopia,Kenya,,,,,,,,Burundi,,RDC,DirectABO,Covid19bj,lwili,,Indépendance2018,9pm,GHBudget2018,,Guinée_Bissau,IBK,,,,kebetu,,
388,COVID19,RoyalVisitMalawi,,,Ramaphosa,testnegative,,Djibouti,Somalia,UHC,,,,,,,,Burundi,,RDC,DirectABO,wasexo,BurkinaFaso,,Indépendance2018,NewProfilePic,RemembranceDay2017,,UNGA,IBK,,,,MoIbrahim,,
389,COVID19,RoyalVisitMalawi,,,Ramaphosa,Ebola,,Djibouti,Eritrean,WHA72,,,,,,,,Burundi,,Kinshasa,DirectABO,teamBénin,Burkina,,Indépendance2018,youth,PresidentToursGreaterAccra,,UNGA72,IBK,,,,JourneeMondialedelEnfance,,
390,COVID19,RoyalVisitAfrica,,,Ramaphosa,thankfull,,Djibouti,Eritrea,EaseOfDoingBusiness,,,,,,,,FakeNews,,RDC,DirectABO,Team229,lwili,,PrixdExcellence2018,youthful,PresidentSpeaks,,Guinée_Bissau,Bamako,,,,DakarForum,,
391,COVID19,Sussex,,,Ramaphosa,ZAMRA,,Djibouti,Eritrea,UHC,,,,,,,,Burundi,,Accident,DirectABO,Covid19bj,Nigeria,,PrixdExcellence2018,Gambian,NgmayemFestival,,UNGA,IBK,,,,Dakar,,
392,COVID19,PrinceHarry,,,Ramaphosa,ZAMRA,,DJIBOUTI,Eritrea,Big4Agenda,,,,,,,,Burundi,,Condoléances,Gabon,wasexo,lwili,,PrixdExcellence2018,judges,GHCyberSecurityWeek,,migration,Tunisie,,,,Africa,,
393,COVID19,RIPMathewTalbot,,,Ramaphosa,EUInvestments,,Djibouti,Eritrea,Project254,,,,,,,,Burundi,,RDC,DirectABO,teamBénin,BurkinaFaso,,PrixdExcellence2018,StateHouseToday,DigitalAddressSystem,,UNGA,IBK,,,,kebetu,,
394,Covid_19,PrinceHarry,,,Ramaphosa,ZAMRA,,Djibouti,Eritrea,TVETs,,,,,,,,Burundi,,Inspection,DirectABO,Team229,France,,PrixdExcellence2018,OIC,DigitalAddressSystem,,UNGA,Mali,,,,Kebetu,,
395,Covid_19,Sussex,,,Ramaphosa,MDGI,,WorldHealthDay,Eritrea,KenyaMbele,,,,,,,,Burundi,,SautDeMouton,DirectABO,Covid19bj,BurkinaFaso,,CEDEAO,Gambia,JackWhereAreYou,,GuinéeBissau,Chine,,,,Toussaint,,
396,Covid_19,PrinceHarry,,,Ramaphosa,Prevention,,Djibouti,Eritrea,MovingForwardKe,,,,,,,,BurundiElections2020,,RDC,DirectABO,Covid19,BurkinaFaso,,CEEAC,Saudi,NDPAS,,1439H,IBK,,,,kebetu,,
397,Covid_19,Sussex,,,Ramaphosa,Cure,,Djibouti,TourOfTaihuLake,HudumaNamba,,,,,,,,LeSaviezVous,,DrTedrosAdhanomGhebreyesus,DirectABO,Coronavirus,France,,UEMOA,OIC2019,AkwaabaPresidentOuattara,,GuineaBissau,IBK,,,,Sénégal,,
398,COVID19,Malawi,,,Ramaphosa,ZAMRA,,Djibouti,Eritrea,HudumaNamba,,,,,,,,LeSaviezVous,,CiteUA,DirectABO,Coronavirus,Dijon,,SOMMETCEDEAOCEEAC,DevelopGambia,AkwaabaPresidentOuattara,,HijriNewYear,IBK,,,,kebetu,,
