,@Trevornoah,@GarethCliff,@SAPresident,@News24,@Julius_S_Malema,@helenzille,@mailandguardian,@5FM,@loyisogola,@Computicket,@MTVbaseAfrica,@OfficialCSA,@UlrichJvV,@euphonik,@BBCAndrewH,@Camfed,@BobSkinstad,@SamsungSA,@liveamp,@hartleyr,@SmithInAfrica,@gertjohan,@_AfricanUnion,@SandtonCity,@ParliamentofRSA,@Mo_IbrahimFdn,@NDOCKenya,@PeterGreste,@JendayiFrazer,@art2gee,@IECSouthAfrica,@forbesafrica,@Entrepreneur_SA,@geoffreyyork,@HenleyAfrica,@IFCAfrica,@africaprogress,@MbuyiseniNdlozi,@FoodBlogCT,@AfricaResearch,@MadeItInAfrica,@cnbcafrica,@willintune,@AfricaGoodNews,@ThinkAfricaFeed,@CityofJoburgZA,@theafricareport,@schneiderhome,@TheStar_news,@rangerdiaries,@daniel_howden,@Aynte,@GautengProvince,@TechCentral,@africamedia_CPJ,@savetherhino,@mary_harper,@okayafrica,@africagathering,@MercedesBenz_SA,@ayittey,@cx73,@africatechie,@Hamza_Africa,@ONEinAfrica,@audisouthafrica,@thisisafrica,@jaxpanik,@forbeesta,@t_mcconnell,@equal_education,@mikestopforth,@iamsuede,@JamalMOsman,@KahnMorbee,@artsouthafrica,@malonebarry,@InvestInAfrica,@TheEIU_Africa,@sarzss,@VISI_Mag,@BrendanSAfrica
2337,,,,,,,,,,,BaseCypher,,,,,,,,SAMA25,,,SAFW2015,AfricaWeWant,,,climate,,,,,,,,,Goals,CapitalMarketsAfrica2017,Afrique,,,localcontent,Kampala,CBSA410,,,IDecide,,Nigeria,,,wildlife,,,,,,,Somalia,,FTAfrica,,,Cycling,,,,,,,,,,,,,,,,,Cameroon,,,
2338,,,,,,,,,,,MTVNews,,,,,,,,Recognise,,,GJCAW15,SouthAfrica,,,publicservice,,,,,,,,,Success,Africa,WorldFisheriesDay,,,Liberia,Tanzanian,JSE,,,NorthAmerica,,coronavirus,,,read,,,,,,,100women,,Africa,,,Teddy,,,,,,,,,,,,,,,,,Africa,,,
2339,,,,,,,,,,,UnseenTalent,,,,,,,,SAMA25,,,GJCAW15,sommet,,,Africa,,,,,,,,,QOTD,CapitalMarketsAfrica,changementclimatique,,,elections,Africa,SouthAfricaLockdown,,,India,,coronavirus,,,photooftheday,,,,,,,Ethiopia,,Ebola,,,Knysna,,,,,,,,,,,,,,,,,Madagascar,,,
2340,,,,,,,,,,,UnseenRappers,,,,,,,,Recognise,,,Swarovski,UA,,,ThrowbackThursday,,,,,,,,,Opinion,wind,Africa,,,LiberiaDecides,retail,CBSA410,,,Argentina,,Africa,,,lion,,,,,,,Somalia,,Ebola,,,Oudtshoorn,,,,,,,,,,,,,,,,,Senegal,,,
2341,,,,,,,,,,,UnseenSingers,,,,,,,,SAMA25,,,GJCAW15,UE,,,MIFConcert,,,,,,,,,Productivity,solar,African,,,Ghana,Africa,Eskom,,,Tunisia,,coronavirus,,,explore,,,,,,,Somaliland,,FTAfrica,,,LittleKaroo,,,,,,,,,,,,,,,,,China,,,
2342,,,,,,,,,,,UnseenRappers,,,,,,,,SAMA25,,,FashionBursary,Abidjan,,,MIFKigali,,,,,,,,,Wellness,Africa,COP22,,,Cocoa,African,SouthAfricaLockdown,,,Africa,,food,,,wanderlust,,,,,,,Somalia,,FTAfrica,,,Oudtshoorn,,,,,,,,,,,,,,,,,Africa,,,
2343,,,,,,,,,,,BaseCypher,,,,,,,,SAMA25,,,gjcaw15,Kenya,,,publicsector,,,,,,,,,BeingBoss,scalingsolar,climatechange,,,debt,agro,Mining,,,maps,,Cameroon,,,wild,,,,,,,Turkey,,FTAfrica,,,Calitzdorp,,,,,,,,,,,,,,,,,sierraleone,,,
2344,,,,,,,,,,,MTVNews,,,,,,,,SAMA25,,,flits,Kenya,,,publicservice,,,,,,,,,QOTD,offGrid,WorldFisheriesDay,,,CIV,SouthAfrican,SouthAfricaLockdown,,,Kenyan,,legislatives2020,,,Okavango15,,,,,,,Somali,,Ebola,,,Calitzdorp,,,,,,,,,,,,,,,,,Africa,,,
2345,,,,,,,,,,,MTVBASEVJSEARCH,,,,,,,,SAMA25,,,Flits,AfricaHumanRightsDay,,,Africa,,,,,,,,,Creativity,solar,ICC,,,Nigeria,Rwandan,CBWA410,,,Segwar,,Anglophone,,,conservation,,,,,,,Ethiopia,,FTAfrica,,,Calitzdorp,,,,,,,,,,,,,,,,,Somalia,,,
2346,,,,,,,,,,,NexVJ,,,,,,,,SAMA25,,,GJCAW15,GreatLakesRegion,,,MIFResearch,,,,,,,,,sidehustling,markets,WorldFisheriesDay,,,ARIat10,Somalia,NigeriaMPC,,,Embobut,,Coronavirus,,,extinction,,,,,,,Djibouti,,FTAfrica,,,LittleKaroo,,,,,,,,,,,,,,,,,Gaddafi,,,
2347,,,,,,,,,,,MTVBASEVJSEARCH,,,,,,,,SAMA25,,,CadburyDairyMilk,Somalia,,,publicservice,,,,,,,,,Success,jobs,UNFAO,,,GuineaBissau,Libyan,Covid_19,,,displacement,,Africans,,,environment,,,,,,,Somalis,,FTAfrica,,,Calitzdorp,,,,,,,,,,,,,,,,,Mauritania,,,
2348,,,,,,,,,,,NexVJ,,,,,,,,SAMA25,,,europaartshoes,Mogadishu,,,Africa,,,,,,,,,Quotes,emKenya,HolySee,,,independence,entrepreneurs,Eskom,,,Burundi,,Italy,,,mankind,,,,,,,Ethiopia,,FTAfrica,,,Calitzdorp,,,,,,,,,,,,,,,,,Africa,,,
2349,,,,,,,,,,,MTVNews,,,,,,,,SAMA25,,,safw,Rwanda,,,MIFPrize,,,,,,,,,Goals,Innovation,endslavery,,,Flooding,sub,SouthAfricaLockdown,,,revenue,,chloroquine,,,future,,,,,,,Somalia,,womenoftheyear60,,,LittleKaroo,,,,,,,,,,,,,,,,,Senegal,,,
2350,,,,,,,,,,,MTVNews,,,,,,,,SAMA25,,,aw15,Mogadisho,,,humanrights,,,,,,,,,BeingBoss,finance,Africa,,,Freetown,Africa,Mozambique,,,authority,,coronavirus,,,wildfire,,,,,,,Ethiopia,,Africa,,,Barrydale,,,,,,,,,,,,,,,,,Habré,,,
2351,,,,,,,,,,,MTVNews,,,,,,,,SAMA25,,,safw,Somalia,,,AFRICA,,,,,,,,,leadership,banking,Didyouknow,,,Museveni,Agriculture,Gas,,,Africa,,spanishflu,,,nature,,,,,,,Brunel,,climatechange,,,Barrydale,,,,,,,,,,,,,,,,,Africa,,,
2352,,,,,,,,,,,MTVNews,,,,,,,,SAMA25,,,SAFW,Kenya,,,publicservice,,,,,,,,,SouthAfrica,Africa,DidYouKnow,,,NRM,Nigeria,SouthAfricaLockdown,,,trade,,SouthAfrica,,,safari,,,,,,,Africa,,wef,,,Barrydale,,,,,,,,,,,,,,,,,Mozambique,,,
2353,,,,,,,,,,,MTVNews,,,,,,,,Recognize,,,SAFW,AUEOM,,,MIFKigali,,,,,,,,,HenleyAfrica,digitalfinance,Africa,,,Uganda,Cameroon,Nigerian,,,misinvoicing,,Nigeria,,,conservation,,,,,,,BigQuestionCov,,Africagathering2015,,,LittleMsMila,,,,,,,,,,,,,,,,,Botswana,,,
2354,,,,,,,,,,,LiveRequest,,,,,,,,LiveAMP,,,JacquinBotha,Liberia,,,MIFKigali,,,,,,,,,IPMACE2019,digitalfinance,énergie,,,Togo,Africa,Nigerian,,,Nigerian,,coronavirus,,,Africa,,,,,,,RISING15,,MDGs,,,Barrydale,,,,,,,,,,,,,,,,,Botswana,,,
2355,,,,,,,,,,,MTVNews,,,,,,,,SAMA25,,,Fashionphotography,RDC,,,MIFKigali,,,,,,,,,IPMFearlessLeadership,digitalfinanc,Africa,,,Election,blockchain,Nigerian,,,BokoHaram,,Kenya,,,photooftheday,,,,,,,Africa,,Ebola,,,Barrydale,,,,,,,,,,,,,,,,,Newsmaker,,,
2356,,,,,,,,,,,MTVNews,,,,,,,,LiveAMP,,,SouthAfrica,Namibia,,,MIFKigali,,,,,,,,,Play,Africa,COP22,,,Somaliland,Africa,Nigerian,,,subSaharan,,Nigeria,,,lions,,,,,,,Somalia,,Africa,,,NelsonMandelaDay,,,,,,,,,,,,,,,,,UK,,,
2357,,,,,,,,,,,MTVNews,,,,,,,,FetchYourLife,,,Beautiful,DREASTC,,,MIFPrize,,,,,,,,,Quote,digitalfinance,DidYouKnow,,,Kenya,HWMIIA,TheSecretFormula,,,Africa,,coronavirus,,,Africa,,,,,,,BBCAfricaLive,,Climate2014,,,MosselBay,,,,,,,,,,,,,,,,,Africa,,,
2358,,,,,,,,,,,MTVBaseVJSearch,,,,,,,,LiveAMP,,,SAFW,DREASTC,,,Kigali,,,,,,,,,Learning,Africa,Africa,,,Liberia,pan,SouthAfricaLockdown,,,water,,FightBack,,,conservation,,,,,,,Somalia,,Climate2014,,,KOF2014,,,,,,,,,,,,,,,,,Newsmaker,,,
2359,,,,,,,,,,,MTVNews,,,,,,,,Ndicelikiss,,,JacquinBotha,DREASTC,,,MIFKigali,,,,,,,,,HenleyAfrica,digitalfinance,Economist,,,elections,tech,Coronavirus,,,sanitation,,health,,,wild,,,,,,,RIPCAWKE,,MoIbrahim,,,best10days,,,,,,,,,,,,,,,,,Africa,,,
2360,,,,,,,,,,,LSBAfrica,,,,,,,,Throwback,,,Fashionphotography,IDDA3,,,MIFConcert,,,,,,,,,CorporateActivism,emKenya,analysis,,,Uganda,Africa,Coronavirus,,,environmental,,Italy,,,lion,,,,,,,Somalia,,RuleofLaw,,,HoutkapperTrailRun,,,,,,,,,,,,,,,,,Seychelles,,,
2361,,,,,,,,,,,LSBChallenge,,,,,,,,LiveAmpRemembersBraHugh,,,SouthAfrica,réfugiés,,,MIFConcert,,,,,,,,,IPMACE2019,digitalfinance,economic,,,NewPost,Wakanda,COVID19InSA,,,Zimbabwe,,Kenya,,,safari,,,,,,,EXCLUSIVE,,Africa,,,KOF2014,,,,,,,,,,,,,,,,,Africa,,,
2362,,,,,,,,,,,AskManifest,,,,,,,,SjavaSpecial,,,SAFW,burundais,,,MIFKigali,,,,,,,,,Entrepreneurship,microfinance,research,,,KE,Africa,SquawkBox,,,tobacco,,COVID2019,,,conservation,,,,,,,Somaliland,,technology,,,HoutkapperTrailRun,,,,,,,,,,,,,,,,,Mozambique,,,
2363,,,,,,,,,,,AskManifest,,,,,,,,FlashBack,,,AW15,RDC,,,mIFKigali,,,,,,,,,Quote,emKenya,assessment,,,BokoHaram,Kenyan,Covid19SA,,,Yalá,,China,,,wild,,,,,,,Somali,,London,,,KOF2014,,,,,,,,,,,,,,,,,Senegal,,,
2364,,,,,,,,,,,AskManifest,,,,,,,,FlashBackFriday,,,SAFashionWeek,UNGA72,,,MIFConcert,,,,,,,,,BeingBoss,Results,High5s,,,Nigeria,Johannesburg,SouthAfricaLockdown,,,corruption,,Zimbabwe,,,rhino,,,,,,,Angolan,,AG2014,,,KnysnaForestMarathon,,,,,,,,,,,,,,,,,Rajoelina,,,
2365,,,,,,,,,,,AskManifest,,,,,,,,FlashBackFriday,,,safw,CAHOSCC,,,MIFConcert,,,,,,,,,Business,Measurement,Trump,,,podcast,Africa,Nigerian,,,GuineaBissau,,africa,,,conservation,,,,,,,Mogadishu,,MESTwomen,,,KOF2014,,,,,,,,,,,,,,,,,Africa,,,
2366,,,,,,,,,,,AskManifest,,,,,,,,MegaMix,,,safw,UNGA72,,,MIFKigali,,,,,,,,,Society,Johannesburg,COP22,,,Nigeria,Africa,Coronavirus,,,Nuer,,CoronavirusinAfrica,,,wild,,,,,,,Somalia,,agriculture,,,HoutkapperTrailRun,,,,,,,,,,,,,,,,,Uganda,,,
2367,,,,,,,,,,,AskManifest,,,,,,,,LiveAMP,,,aw15,UNGA72,,,live,,,,,,,,,Community,data,énergie,,,Nigeria,Libyan,StimulusBill,,,Gambella,,Health,,,ivory,,,,,,,RISING15,,AG2014,,,Knysna,,,,,,,,,,,,,,,,,Besigye,,,
2368,,,,,,,,,,,AskManifest,,,,,,,,LiveAMP,,,SAFashionWeek,EthiopianNewYear,,,MIFKigali,,,,,,,,,IPMFearlessLeadership,monitoring,climat,,,Tax,entrepreneurs,CapitalConnection,,,humanitarianemergency,,governments,,,nature,,,,,,,AlShabab,,FoodHackathon,,,KOF2014,,,,,,,,,,,,,,,,,Nigeria,,,
2369,,,,,,,,,,,AskManifest,,,,,,,,Liveamp,,,StyleAfricaLoves,AUReforms,,,live,,,,,,,,,IPMACE2019,evaluation,COP22,,,development,Rwandan,NewZealand,,,AddisAbaba,,humanitarian,,,okavango15,,,,,,,RISING15,,AG2014,,,KnysnaForestMarathon,,,,,,,,,,,,,,,,,Nigeria,,,
2370,,,,,,,,,,,AskManifest,,,,,,,,Brenden,,,SAFW,Italy,,,live,,,,,,,,,Leadership,M,Afrique,,,freemedia,Kenya,CapitalConnection,,,SouthSudan,,Africans,,,Africa,,,,,,,Nigeria,,AG2014,,,KOF2014,,,,,,,,,,,,,,,,,Rwanda,,,
2371,,,,,,,,,,,AskManifest,,,,,,,,JoyJoy,,,AW15,Gambia,,,MIFConcert,,,,,,,,,Quote,financial,AfricaDay,,,Uganda,Kenya,Covid19,,,Development,,Africa,,,conservation,,,,,,,Somalia,,AG2014,,,KnysnaForestMarathon,,,,,,,,,,,,,,,,,EAC,,,
2372,,,,,,,,,,,AskManifest,,,,,,,,LiveAMP,,,mindadthumbsup,Mauritania,,,MIFKigali,,,,,,,,,Innovation,Tanzania,COP22,,,AgeLimit,Nairobi,Covid19SA,,,Inequality,,DRC,,,leopard,,,,,,,RISING15,,aghack,,,KOF2014,,,,,,,,,,,,,,,,,Uganda,,,
2373,,,,,,,,,,,AskManifest,,,,,,,,LiveAMP,,,safashionweek,Seychelles,,,MIFConcert,,,,,,,,,QOTD,emKenya,COP22,,,Kenya,Ethiopia,covid19,,,Poverty,,Ethiopia,,,nature,,,,,,,RISING15,,hackathon,,,LittleMsMila,,,,,,,,,,,,,,,,,walk2work,,,
2374,,,,,,,,,,,AskManifest,,,,,,,,LiveAMP,,,GJCAW15,Ghana,,,MIFConcert,,,,,,,,,Leadership,digitalfinance,Afrique,,,Nigeria,Cryptocurrencies,Kenya,,,WorldBank,,MohammedDewji,,,photography,,,,,,,Rising2015,,AG2014,,,George,,,,,,,,,,,,,,,,,ugandawalks,,,
2375,,,,,,,,,,,AskManifest,,,,,,,,Live,,,CadburyDairyMilk,Kenya,,,MIFConcert,,,,,,,,,Quotes,DYK,Africa,,,BokoHaram,Africa,IMF,,,APRM,,Mali,,,poaching,,,,,,,RISING15,,AG2014,,,Wilderness,,,,,,,,,,,,,,,,,Burkina,,,
2376,,,,,,,,,,,AskManifest,,,,,,,,SiyenzaKwenzeke,,,beutifulfashion,Angola,,,live,,,,,,,,,People,Mobile,Fact,,,Nigeria,African,Coronavirus,,,corruption,,Algerian,,,widlife,,,,,,,Rising2015,,AG2014,,,DiveSA,,,,,,,,,,,,,,,,,SouthAfrica,,,
2377,,,,,,,,,,,AskManifest,,,,,,,,LiveAMP,,,GJCAW15,DRC,,,MIFConcert,,,,,,,,,QOTD,technologies,amgfc16,,,CHAfrica,Kenyan,Nigerian,,,mismanagement,,CoronavirusPandemic,,,conservation,,,,,,,Rising2015,,AG2014,,,XTERRA,,,,,,,,,,,,,,,,,BRIC,,,
2378,,,,,,,,,,,AskManifest,,,,,,,,LiveAMP,,,GJCAW15,Guinea,,,MIFkigali,,,,,,,,,HenleyBusinessSchool,digitalfinance,COP22,,,Nigeria,businesswoman,Coronavirus,,,BokoHaram,,SouthAfrica,,,wild,,,,,,,Coventry,,AgHack,,,Knysna,,,,,,,,,,,,,,,,,Botswana,,,
2379,,,,,,,,,,,AskManifest,,,,,,,,LiveAmp,,,GJCAW15,SierraLeone,,,WhitneyHouston,,,,,,,,,International,emKenya,Africa,,,Tanzania,tech,Moodys,,,undermining,,COVIDー19,,,safari,,,,,,,Somalia,,AG2014,,,KOF2014,,,,,,,,,,,,,,,,,BDP,,,
2380,,,,,,,,,,,AskManifest,,,,,,,,LiveAmp,,,gjcaw15,SierraLeone,,,MIFConcert,,,,,,,,,IPMACE2019,Africa,MotivationMonday,,,Nigeria,Kenya,21DayLockdown,,,Chibok,,Terrorists,,,Africa,,,,,,,RISING15,,LondonEye,,,legoland,,,,,,,,,,,,,,,,,Ugandawalks,,,
2381,,,,,,,,,,,AskManifest,,,,,,,,LiveAmp,,,SaFashionWeek,DRC,,,MIFKigali,,,,,,,,,HenleyAfrica,digitalfinance,Dubai,,,InternationalPeaceDay,Africa,CBSA410,,,bringbackourgirls,,Peace,,,nature,,,,,,,Somalia,,AfricaGathering,,,XTERRA,,,,,,,,,,,,,,,,,Besigye,,,
2382,,,,,,,,,,,AskManifest,,,,,,,,LiveAmp,,,GJCAW15,Guinea,,,KCC,,,,,,,,,Leadership,DYK,amgfc16,,,Rwanda,entrepreneur,CNBCAfrica,,,radio,,Mali,,,photography,,,,,,,Kenya,,Africa,,,Knysna,,,,,,,,,,,,,,,,,Ugandawalks,,,
2383,,,,,,,,,,,AskManifest,,,,,,,,LiveAmp,,,SAFashionWeek,Freetown,,,MIFConcert,,,,,,,,,Quote,digitalfinance,Africa,,,gacaca,Africa,COVID19,,,Abidjan,,Algeria,,,okavango15,,,,,,,RISING15,,Africa,,,KOF2014,,,,,,,,,,,,,,,,,Uganda,,,
2384,,,,,,,,,,,AskManifest,,,,,,,,LiveAMP,,,madedifferent,SierraLeoneMudSlide,,,live,,,,,,,,,LeadershipMatters,emKenya,Africa,,,PeaceDay17,Africa,CNBCAfrica,,,politicians,,CoronavirusPandemic,,,Angola,,,,,,,RISING15,,AG2014,,,KOF2014,,,,,,,,,,,,,,,,,Besigye,,,
2385,,,,,,,,,,,MTVNews,,,,,,,,LiveAMP,,,MadeDifferent,SierraLeone,,,MIFConcert,,,,,,,,,leadership,Mobilemoney,énergie,,,Hichilema,Rwanda,NigeriaMPC,,,IvoryCoast,,Hirak,,,photoftheday,,,,,,,humanitarian,,womenvoices,,,KOF2014,,,,,,,,,,,,,,,,,walk2work,,,
2386,,,,,,,,,,,MTVNews,,,,,,,,LiveAMP,,,GJCAW15,BarcelonaTerrorAttack,,,MIFConcert,,,,,,,,,Quote,mobilemoney,climat,,,Lungu,Zimbabwe,NigeriaMPC,,,satire,,coronavirus,,,Afirca,,,,,,,CashTransfers,,AG2014,,,KOF2014,,,,,,,,,,,,,,,,,Uganda,,,
2387,,,,,,,,,,,FirstOnBase,,,,,,,,LiveAMP,,,SAFW,BurkinaFaso,,,live,,,,,,,,,LeadershipMatters,financial,Afrique,,,SomalilandVotes,Wakanda,CNBCAfrica,,,misinvoicing,,Southafrica,,,wanderlust,,,,,,,HighlanderShoes,,AgHack,,,Knysna,,,,,,,,,,,,,,,,,Africa,,,
2388,,,,,,,,,,,MTVNews,,,,,,,,LiveAMP,,,JamesonSAFW,Kenya,,,MIFConcert,,,,,,,,,tradewar,digitalfinance,Africa,,,SomalilandElections,Africa,DStv410,,,illictfinancialflows,,COVIDー19,,,okavango15,,,,,,,hotelgeopolitics,,Africa,,,KOF2014,,,,,,,,,,,,,,,,,Franc,,,
2389,,,,,,,,,,,MTVNews,,,,,,,,LiveAMP,,,safw,Kenya,,,live,,,,,,,,,HenleyAfrica,emKenya,Women4climate,,,SomalilandVotes,entrepreneur,NigeriaMPC,,,IFFs,,Cameroon,,,angola,,,,,,,Eritrea,,AG2014,,,Knysna,,,,,,,,,,,,,,,,,Sudan,,,
2390,,,,,,,,,,,MTVNews,,,,,,,,LiveAMP,,,AlanKrishenStyle,ElectionsKe,,,MIFConcert,,,,,,,,,Education,Africa,lowcarbon,,,cocoa,Kenya,CNBCAfrica,,,Gulf,,SouthAfrica,,,wildlife,,,,,,,Ethiopia,,Africa,,,alexandria39,,,,,,,,,,,,,,,,,Swaziland,,,
2391,,,,,,,,,,,AskManifest,,,,,,,,LiveAMP,,,jamesonsafw,ElectionsKE,,,MIFConcert,,,,,,,,,Quote,accesstofinance,COP22,,,Somaliland,African,DStv410,,,Egypt,,Kenya,,,blackandwhitephotography,,,,,,,SoundCloud,,AgHack,,,CraftBeer,,,,,,,,,,,,,,,,,Nigeria,,,
2392,,,,,,,,,,,AskManifest,,,,,,,,LiveAMP,,,safw,Rwanda,,,MIFConcert,,,,,,,,,International,innovations,COP22,,,Museveni,Rwanda,NigeriaMPC,,,Economy,,pandemic,,,lions,,,,,,,np,,data,,,CapeBrewingCo,,,,,,,,,,,,,,,,,Gabon,,,
2393,,,,,,,,,,,AskManifest,,,,,,,,MegaMix,,,AlanKrishenStyle,ElectionsKE,,,MIFKigali,,,,,,,,,TripleAccredited,digitalfinance,DidYouKnow,,,Freetown,entrepreneur,CNBCAfrica,,,Egypt,,COVID19,,,Africa,,,,,,,SoundCloud,,AfricaUtopia,,,PlettenbergBay,,,,,,,,,,,,,,,,,Nigeria,,,
2394,,,,,,,,,,,AskManifest,,,,,,,,LiveAMP,,,GJCAW15,ElectionsKE,,,African,,,,,,,,,FamilyFriendly,emKenya,Afrique,,,Issoufou,Tanzanian,DStv410,,,military,,SouthAfrica,,,conservation,,,,,,,np,,Africa,,,PortElizabeth,,,,,,,,,,,,,,,,,civ2010,,,
2395,,,,,,,,,,,AskManifest,,,,,,,,SjavaSpecial,,,SAFW,ElectionsKE,,,MIFKigali,,,,,,,,,ClimateChange,innovative,énergiesrenouvelables,,,Niger,Rwanda,Tweet,,,economic,,coronavirus,,,Africa,,,,,,,Eritrea,,AG2014,,,EasternCape,,,,,,,,,,,,,,,,,Coted,,,
2396,,,,,,,,,,,FirstOnBase,,,,,,,,SjavaSpecial,,,SAFW,KenyaDecides,,,Africa,,,,,,,,,Leadership,technology,SDGs,,,Uganda,Africa,CBN,,,APRM,,NowPlaying,,,safari,,,,,,,Ethiopia,,data,,,EasternCape,,,,,,,,,,,,,,,,,civ2010,,,
2397,,,,,,,,,,,SpankingNew,,,,,,,,SjavaSpecial,,,TheGlamTeam,KenyaDecides,,,MIFConcert,,,,,,,,,HR,business,SDG7,,,DRC,entrepreneurs,Emefiele,,,corruption,,coronavirus,,,photooftheday,,,,,,,BBCNewsday,,Ebola,,,TrailRun,,,,,,,,,,,,,,,,,Ouattara,,,
2398,,,,,,,,,,,MTVBaseVJSearch,,,,,,,,SjavaSpecial,,,SAFW,KenyaDecides,,,Kigali,,,,,,,,,ArtificialIntelligence,digitalfinance,ThursdayThoughts,,,Tanzania,Halal,Covid19,,,trade,,Angola,,,Africa,,,,,,,AlShabaab,,Africa,,,PortAlfred,,,,,,,,,,,,,,,,,Gbagbo,,,
2399,,,,,,,,,,,MTVNews,,,,,,,,SjavaSpecial,,,SAFASHIONWEEK,KenyaDecides,,,MIFConcert,,,,,,,,,Chatbots,emKenya,COP22,,,Uganda,Libyan,Covid19,,,misinvoicing,,Coronavirus,,,lion,,,,,,,Mogadishu,,AG2014,,,PortElizabeth,,,,,,,,,,,,,,,,,Abidjan,,,
2400,,,,,,,,,,,MTVNews,,,,,,,,SjavaSpecial,,,gertjohancoetzee,KenyaDecides,,,MIFKigali,,,,,,,,,Innovation,Kenya,Didyouknow,,,BokoHaram,entrepreneurs,21dayslockdown,,,Africa,,Ebola,,,conservation,,,,,,,Somalia,,Africa,,,Bathurst,,,,,,,,,,,,,,,,,civ2010,,,
2401,,,,,,,,,,,MTVNews,,,,,,,,SjavaSpecial,,,GJCAW15,DGTrends,,,MIFConcert,,,,,,,,,Disruption,digitalfinance,COP22,,,LiberiaDecides,Urbanisation,NigeriaMPC,,,radio,,Africa,,,lions,,,,,,,Sahafiattack,,AG2014,,,Bathurst,,,,,,,,,,,,,,,,,Mali,,,
2402,,,,,,,,,,,MTVNews,,,,,,,,SjavaSpecial,,,sundaytimes,RwandaDecides,,,IbrahimForum,,,,,,,,,ChangeMaker,emKenya,Morocco,,,Election,sub,NigeriaMPC,,,Abidjan,,liberia,,,Africa,,,,,,,Angola,,AfricaUtopia,,,UselessFacts,,,,,,,,,,,,,,,,,Mozambique,,,
2403,,,,,,,,,,,MTVNews,,,,,,,,SjavaSpecial,,,FashionBursary,DGTrends,,,MIFKigali,,,,,,,,,BeingBoss,Finance,Africa,,,Somaliland,Africa,Coronavirus,,,IvoryCoast,,liberia,,,conservation,,,,,,,LiberdadeJA,,Africa,,,Bathurst,,,,,,,,,,,,,,,,,Gambia,,,
2404,,,,,,,,,,,MTVNews,,,,,,,,SjavaSpecial,,,couture,DGTrends,,,Rwanda,,,,,,,,,FailForward,Farmers,womenadvancingAfrica,,,Kampala,Africa,21DayLockdown,,,G8NewAlliance,,PODCAST,,,photo,,,,,,,Somalia,,AG2014,,,TrailRun,,,,,,,,,,,,,,,,,Ethiopia,,,
2405,,,,,,,,,,,MTVNews,,,,,,,,SjavaSpecial,,,gold,DGTrends,,,Corruption,,,,,,,,,Leadership,AccesstoFinance,changementclimatique,,,CentralAfrica,Nigeria,InterestRates,,,corporations,,Podcast,,,photo,,,,,,,Ethiopia,,AfricaUtopia,,,PortAlfred,,,,,,,,,,,,,,,,,Eritrea,,,
2406,,,,,,,,,,,MTVNews,,,,,,,,SjavaSpecial,,,TopBilling,Kenya,,,corruption,,,,,,,,,Success,women,Africa,,,Magufuli,Ethiopia,CNBCAfrica,,,Africans,,Nigeria,,,ThoughtOfTheDay,,,,,,,AlShabaa,,Africa,,,JeffreysBay,,,,,,,,,,,,,,,,,Gabon,,,
2407,,,,,,,,,,,TwitterChat,,,,,,,,SjavaSpecial,,,FASHIONBURSARY,Kenya,,,GenderEquality,,,,,,,,,Creativity,insurance,Africa,,,Nigeria,Cameroon,DStv410,,,homophobia,,coronavirus,,,Africa,,,,,,,Eritrea,,AG2014,,,ThesenIslands,,,,,,,,,,,,,,,,,SouthAfrica,,,
2408,,,,,,,,,,,MTVNews,,,,,,,,sjavaspecial,,,GertJohanCoetzee,DRC,,,poverty,,,,,,,,,Business,financial,Climat,,,Angola,gaming,PLEA410,,,colonial,,BolajiAkinboro,,,wildbird,,,,,,,humanrights,,AG2014,,,Knysna,,,,,,,,,,,,,,,,,Guinea,,,
2409,,,,,,,,,,,VideoOfTheDay,,,,,,,,SjavaSpecial,,,Top10,Ebola,,,Africa,,,,,,,,,Leadership,IFCCreatingMarkets,African,,,MPLA,superheroes,PLEA410,,,Museveni,,KenNjoroge,,,birding,,,,,,,Ethiopia,,AgHack,,,PlettenbergBay,,,,,,,,,,,,,,,,,civ2010,,,
2410,,,,,,,,,,,Africaunite,,,,,,,,SjavaSpecial,,,AW15,29thAUSummit,,,poverty,,,,,,,,,People,Ghana,COP22,,,Kenya,tech,Tanzanian,,,gayrights,,african,,,eagles,,,,,,,shoes,,Ebola,,,QuoteOfTheDay,,,,,,,,,,,,,,,,,Madagascar,,,
2411,,,,,,,,,,,DancehallClash,,,,,,,,LiveAmp,,,AW15,29thAUSummit,,,Africa,,,,,,,,,HenleyAfrica,IFCCreatingMarkets,COP22,,,Kenyans,Chinese,COVID19,,,Uganda,,stock,,,Africa,,,,,,,durban,,Liberia,,,Knysna,,,,,,,,,,,,,,,,,Cameroon,,,
2412,,,,,,,,,,,MTVAtMicasaShow,,,,,,,,SjavaSpecial,,,FASHION,29thAUSummit,,,Rwanda,,,,,,,,,HenleyAfrica,Communications,ActionTime,,,Uganda,Africa,21DaysLockdown,,,L,,Nigeria,,,wild,,,,,,,southafrica,,FoodSecurity,,,Johannesburg,,,,,,,,,,,,,,,,,Mauritania,,,
2413,,,,,,,,,,,MTVAtMicasaShow,,,,,,,,SjavaSpecial,,,ShawMedia,AUReforms,,,IbrahimForum,,,,,,,,,HenleyAfrica,Dakar,COP22,,,Zimbabwe,business,COVID19,,,Satire,,COVID19,,,photo,,,,,,,Burundi,,hackathon,,,Mpumalanga,,,,,,,,,,,,,,,,,Tunisia,,,
