,hashtag,mention
8952,,JHBWater
8953,,Loyiso_Masuku
8954,,Loyiso_Masuku
8955,,En24George
8956,,TraceyCownley
8957,,CityPowerJhb
8958,,DaluCele
8959,,go2girlwendy
8960,,CityPowerJhb
8961,,Natalie00073335
8962,,CityPowerJhb
8963,,CityPowerJhb
8964,,Starrubyx
8965,,CityPowerJhb
8966,,DaluCele
8967,,go2girlwendy
8968,,LeahK28
8969,,CityPowerJhb
8970,,Vivi82753278
8971,,CityPowerJhb
8972,,CityPowerJhb
8973,,brendantobin
8974,,CityPowerJhb
8975,,DaluCele
8976,,CityPowerJhb
8977,,SkulleeX2
8978,,CityPowerJhb
8979,,Starrubyx
8980,,CityPowerJhb
8981,,Jadekins7
8982,,Sandton_News
8983,,RaeSingh55
8984,,Ghost_Android
8985,,CityPowerJhb
8986,,CityPowerJhb
8987,,Ghost_Android
8988,,CityPowerJhb
8989,,CityPowerJhb
8990,,amber_heever
8991,,CityPowerJhb
8992,,LargeTV1
8993,,City_Press
8994,,SABCNews
8995,,eNCA
8996,,tweepsmap
8997,,JHBWater
8998,,GarciaPanda
8999,,CityPowerJhb
9000,,CityPowerJhb
9001,,RonMorobe1
9002,,JoburgMPD
9003,,_ArriveAlive
9004,,CoJPublicSafety
9005,,GeoffMakhubo
9006,,MMCMallyMokoena
9007,,PrinceNdamase
9008,,LMoshwane
9009,,CityPowerJhb
9010,,CityPowerJhb
9011,,CityPowerJhb
9012,,tarrynmenzies
9013,,CityPowerJhb
9014,,Eskom_SA
9015,,CoJPublicSafety
9016,,Strawbs16
9017,,CityPowerJhb
9018,,Eskom_SA
9019,,DaluCele
9020,,CityPowerJhb
9021,,tarrynmenzies
9022,,CityPowerJhb
9023,,Eskom_SA
9024,,CityPowerJhb
9025,,QHD2012
9026,,CityPowerJhb
9027,,Eskom_SA
9028,,CityPowerJhb
9029,,golist10
9030,,CityofJoburgZA
9031,,jasonmerrington
9032,,CityPowerJhb
9033,,CityPowerJhb
9034,,OdileRobertson
9035,,CityPowerJhb
9036,,TessaNow
9037,,JHBWater
9038,,Fourways_Review
9039,,CityofJoburgZA
9040,,SkulleeX2
9041,,CityPowerJhb
9042,,EtchFl
9043,,JHBWater
9044,,JHBWater
9045,,golly_j
9046,,CityPowerJhb
9047,,Ghost_Android
9048,,CityPowerJhb
9049,,CityPowerJhb
9050,,Melia16076943
9051,,JHBWater
9052,,Melia16076943
9053,,JHBWater
9054,,JHBWater
9055,,CharmaxGroup
9056,,siwe17
9057,,CityPowerJhb
9058,,CityPowerJhb
9059,,CleanerJoburg
9060,,CityofJoburgZA
9061,,mphomoerane
9062,,ArnoldsMmc
9063,,MrsShuping
9064,,HoldingsMona
9065,,CityofJoburgZA
9066,,AyandaBiana1
9067,,JHBWater
9068,,liz630202
9069,,JoburgFinance
9070,,MatongoMmc
9071,,PenelopeMachete
9072,,CityPowerJhb
9073,,NLM028
9074,,CityPowerJhb
9075,,MyJRA
9076,,CityPowerJhb
9077,,its_justS
9078,,CityPowerJhb
9079,,JacquiBuncombe
9080,,JHBWater
9081,,thebaklav
9082,,MatongoMmc
9083,,GeoffMakhubo
9084,,MyJRA
9085,,Yes_I_Sed_It
9086,,CityPowerJhb
9087,,batyizusipe
9088,,Loyiso_Masuku
9089,,TiisetsoMalepa
9090,,GeoffMakhubo
9091,,CityPowerJhb
9092,,Fredzilla13
9093,,ReaVayaBus
9094,,OlafSchaum
9095,,CityPowerJhb
9096,,DaluCele
9097,,OlafSchaum
9098,,CityPowerJhb
9099,,DaluCele
9100,,Tumelo_Moraba
9101,,ZnMsash1
9102,,ZnMsash1
9103,,CityPowerJhb
9104,,Misko_7r
9105,,TessaNow
9106,,CityPowerJhb
9107,,Komane_NeoClyde
9108,,GeoffMakhubo
9109,,MatongoMmc
9110,,OfentseMSepeng
9111,,Eskom_SA
9112,,CityPowerJhb
9113,,CityPowerJhb
9114,,ZnMsash1
9115,,Eskom_SA
9116,,CityPowerJhb
9117,,GwedeMantashe1
9118,,DlaminiZuma
9119,,PresidencyZA
9120,,HannahNaicker
9121,,CityPowerJhb
9122,,GeoffMakhubo
9123,,CityPowerJhb
9124,,IAmOtisJC
9125,,CityPowerJhb
9126,,CityPowerJhb
9127,,affari_blaq
9128,,CityPowerJhb
9129,,CityPowerJhb
9130,,Rato_Mich
9131,,JHBWater
9132,,ReaVayaBus
9133,,CityPowerJhb
9134,,carmeleaton
9135,,JHBWater
9136,,JHBWater
9137,,ReaVayaBus
9138,,muntukaLulu
9139,,JHBWater
9140,,JHBWater
9141,,jozinen
9142,,CityPowerJhb
9143,,CityPowerJhb
9144,,CityofJoburgZA
9145,,muntukaLulu
9146,,JHBWater
9147,,JHBWater
9148,,Michael81760920
9149,,JHBWater
9150,,JHBWater
9151,,TechnoFreaks_SA
9152,,CityPowerJhb
9153,,CalebFinn1
9154,,CityPowerJhb
9155,,Speaker_CoJ
9156,,MaakeJohannes
9157,,Eskom_SA
9158,,Julius_S_Malema
9159,,CityPowerJhb
9160,,Eskom_SA
9161,,CityPowerJhb
9162,,JustXavierB
9163,,GeoffMakhubo
9164,,HermanMashaba
9165,,darabitt
9166,,Our_DA
9167,,JohnMoodeyGP
9168,,LeahK28
9169,,ditapule
9170,,CityPowerJhb
9171,,BrandonKaule
9172,,Loyiso_Masuku
9173,,SAfmRadio
9174,,PhemeloMotene
9175,,SophyTlhabadira
9176,,kokiimojela_
9177,,kmlaw_
9178,,CityPowerJhb
9179,,betheaclayton67
9180,,MohammedCassi17
9181,,BrandonKaule
9182,,Loyiso_Masuku
9183,,AwesomeCooks_23
9184,,CivicTechAfrica
9185,,CityofJoburgZA
9186,,TheSADAG
9187,,MatongoMmc
9188,,GP_DHS
9189,,Thane_HRH
9190,,JHBWater
9191,,JHBWater
9192,,Jane89534517
9193,,JoburgFinance
9194,,Saclassycouture
9195,,MmaBasotho7
9196,,Dj_Techzi
9197,,KaraboRiley
9198,,Eskom_SA
9199,,CityPowerJhb
9200,,Eskom_SA
9201,,MissT_luv
9202,,CalebFinn1
9203,,CityPowerJhb
9204,,MaMfikoe
9205,,mphomoerane
9206,,CityPowerJhb
9207,,Jane89534517
9208,,JoburgFinance
9209,,JacquiBuncombe
9210,,JHBWater
9211,,JHBWater
9212,,LinusMullerSA
9213,,JHBWater
9214,,MyLeaderNicole
9215,,GeoffMakhubo
9216,,mphomoerane
9217,,MaMfikoe
9218,,JHBWater
9219,,YouTube
9220,,CityPowerJhb
9221,,matt_lewarne
9222,,petrumarie
9223,,JHBWater
9224,,JHBWater
9225,,CityofJoburgZA
9226,,CityofJoburgZA
9227,,NkanyaneTuis
9228,,mphomoerane
9229,,CityPowerJhb
9230,,CityPowerJhb
9231,,JoburgFinance
9232,,Basheera_K
9233,,CityPowerJhb
9234,,CityPowerJhb
9235,,nodangala4
9236,,JoburgWater
9237,,JHBWater
9238,,ReaVayaBus
9239,,CityofJoburgZA
9240,,CoJTransport
9241,,Ghost_Android
9242,,ElKraai
9243,,CalebFinn1
9244,,CityPowerJhb
9245,,MaMfikoe
9246,,mphomoerane
9247,,CityPowerJhb
9248,,iamDavincy
9249,,Speaker_CoJ
9250,,CityPowerJhb
9251,,nodangala4
9252,,JoburgWater
9253,,JHBWater
9254,,Mangethe95
9255,,bonnyskosana
9256,,Ghost_Android
9257,,CityPowerJhb
9258,,mphomoerane
9259,,GeoffMakhubo
9260,,CityPowerJhb
9261,,CathyBalsdon
9262,,craigbjacobs
9263,,JHBWater
9264,,CityPowerJhb
9265,,JHBWater
9266,,mfitzjohn
9267,,JHBWater
9268,,Rand_Water
9269,,JHBWater
9270,,terryma2008
9271,,krapulana
9272,,Eskom_SA
9273,,4
9274,,CityPowerJhb
9275,,batlogiMologadi
9276,,Dj_Techzi
9277,,Eskom_SA
9278,,CityPowerJhb
9279,,Eskom_SA
9280,,latoniaalison
9281,,JHBWater
9282,,iamDavincy
9283,,Speaker_CoJ
9284,,CityPowerJhb
9285,,CityPowerJhb
9286,,Tendy01
9287,,JoburgFinance
9288,,AfonsoUrsula
9289,,JoburgFinance
9290,,AfonsoUrsula
9291,,JoburgFinance
9292,,Janine_BLC
9293,,Loyiso_Masuku
9294,,MphoKSithole
9295,,CityofJoburgZA
9296,,Sdubedube01
9297,,CityPowerJhb
9298,,AstridAvdm
9299,,CityPowerJhb
9300,,CityPowerJhb
9301,,Ctray_Creative
9302,,JHBWater
9303,,CityPowerJhb
9304,,CityofJoburgZA
9305,,SAWeatherServic
9306,,CityPowerJhb
9307,,NothandoNtuli
9308,,JHBWater
9309,,JamaNkululeko
9310,,JoburgFinance
9311,,MatongoMmc
9312,,matt_collier77
9313,,NationalCoGTA
9314,,the_smme
9315,,the_smme
9316,,Tshepan11961883
9317,,SuchaBeardo
9318,,UMbalivalentine
9319,,Thabza_sbanyoni
9320,,CanyanF
9321,,the_smme
9322,,the_smme
9323,,the_smme
9324,,the_smme
9325,,TentUs_Bedouins
9326,,SuchaBeardo
9327,,CharmaxGroup
9328,,JoburgParksZoo
9329,,TheCitizen_News
9330,,mphomoerane
9331,,CityPowerJhb
9332,,CityofJoburgZA
9333,,mphomoerane
9334,,CityPowerJhb
9335,,CityofJoburgZA
9336,,mphomoerane
9337,,CityPowerJhb
9338,,CityofJoburgZA
9339,,JamaNkululeko
9340,,JoburgFinance
9341,,MatongoMmc
9342,,CleanerJoburg
9343,,Takitakee
9344,,JHBWater
9345,,Ondeane
9346,,CityPowerJhb
9347,,CityPowerJhb
9348,,JHBPublicSpace
9349,,JHBWater
9350,,JHBWater
9351,,MatongoMmc
9352,,CityofJoburgZA
9353,,brotha_sam
9354,,CityPowerJhb
9355,,MYANC
9356,,Our_DA
9357,,2besh
9358,,Oleoleh2
9359,,mlungisi_baso
9360,,GeoffMakhubo
9361,,Lawrenc73271977
9362,,JoburgFinance
9363,,CityofJoburgZA
9364,,Challa1201
9365,,CoJPublicSafety
9366,,Miss_Shawdy11
9367,,sloopdeloop
9368,,Jolidee_matongo
9369,,MMCEuniceMgcina
9370,,Eskom_SA
9371,,CityPowerJhb
9372,,MatongoMmc
9373,,JoburgFinance
9374,,mindful_parent1
9375,,JHBWater
9376,,JHBWater
9377,,SiyaMendez
9378,,JHBWater
9379,,JHBWater
9380,,CityofJoburgZA
9381,,2besh
9382,,CoJhousing
9383,,GeoffMakhubo
9384,,mlungisi_baso
9385,,CleanerJoburg
9386,,CivicTechAfrica
9387,,CityofJoburgZA
9388,,sibusis9
9389,,mphomoerane
9390,,CityPowerJhb
9391,,CityPowerJhb
9392,,CityPowerJhb
9393,,CityPowerJhb
9394,,CityPowerJhb
9395,,GeoffMakhubo
9396,,mlungisi_baso
9397,,CityPowerJhb
9398,,CityofJoburgZA
9399,,mdwalstra
9400,,JoburgFinance
9401,,mindful_parent1
9402,,JHBWater
9403,,JHBWater
9404,,SyaMulder
9405,,CityPowerJhb
9406,,CityPowerJoburg
9407,,CityPowerJhb
9408,,Kanyane88
9409,,JoburgMPD
9410,,CoJPublicSafety
9411,,GeoffMakhubo
9412,,MMCMallyMokoena
9413,,PrinceNdamase
9414,,LMoshwane
9415,,WayneMinnaar2
9416,,SnazLaz
9417,,GeoffMakhubo
9418,,GeoffMakhubo
9419,,erasmus_tracey
9420,,jan_leidecker
9421,,CityofJoburgZA
9422,,SuchaBeardo
9423,,CityofJoburgZA
9424,,CleanerJoburg
9425,,CityofJoburgZA
9426,,mphomoerane
9427,,ArnoldsMmc
9428,,CityofJoburgZA
9429,,JoburgParksZoo
9430,,DavidCOJ102
9431,,CityPowerJhb
9432,,gummiberry
9433,,CleanerJoburg
9434,,ArnoldsMmc
9435,,JoburgParksZoo
9436,,kevtintinwright
9437,,PrincoStoffer
9438,,MrPhire
9439,,i_a_m_Baron
9440,,GeorgieNc
9441,,Fisharman1
9442,,mindful_parent1
9443,,JHBWater
9444,,CityPowerJhb
9445,,Nhlanhla_levine
9446,,CleanerJoburg
9447,,mindful_parent1
9448,,JHBWater
9449,,JHBWater
9450,,mbhiza_sipho
9451,,CleanerJoburg
9452,,lennyblacc_SA
9453,,MbauReloaded
9454,,CityPowerJhb
9455,,CleanerJoburg
9456,,Mzansi_NYK
9457,,CityPowerJhb
9458,,Eskom_SA
9459,,SAWeatherServic
9460,,MukomaJuniya
9461,,NdyeboJean
9462,,MbauReloaded
9463,,JHBWater
9464,,crazeetazz
9465,,Eskom_SA
9466,,SyaMulder
9467,,CityPowerJhb
9468,,CityPowerJoburg
9469,,kabelomolekoa
9470,,KoeksMSA
9471,,trekpostal
9472,,CityPowerJhb
9473,,CityPowerJhb
9474,,CityPowerJhb
9475,,CityPowerJhb
9476,,Eskom_SA
9477,,LizBotes8
9478,,CityPowerJhb
9479,,Toooleee
9480,,ThuliMadonsela3
9481,,BraWilly_Seyama
9482,,OrnicoMedia
9483,,BraWilly_Seyama
9484,,OrnicoMedia
9485,,CityPowerJhb
9486,,Lawrenc73271977
9487,,CleanerJoburg
9488,,CityofJoburgZA
9489,,CityofJoburgZA
9490,,LivingstonMasa4
9491,,NokoPela
9492,,CityofJoburgZA
9493,,JUJU_MAN_
9494,,JHBWater
9495,,HeatherIrv
9496,,JHBWater
9497,,jozi117
9498,,DrZweliMkhize
9499,,JeanTenson
9500,,NhlanhlaBNdaba
9501,,ReaVayaBus
9502,,mfitzjohn
9503,,Rand_Water
9504,,eThekwiniM
9505,,Nwabiso_Dlamini
9506,,eThekwiniM
9507,,Jerrysimpl
9508,,CityPowerJhb
9509,,mphomoerane
9510,,Ghost_Android
9511,,CityPowerJhb
9512,,Md_neka
9513,,eThekwiniM
9514,,the_smme
9515,,the_smme
9516,,the_smme
9517,,the_smme
9518,,the_smme
9519,,AbBhele
9520,,AbBhele
9521,,the_smme
9522,,the_smme
9523,,the_smme
9524,,the_smme
9525,,the_smme
9526,,the_smme
9527,,CivicTechAfrica
9528,,CityofJoburgZA
9529,,CanyanF
9530,,AfroWestMedia
9531,,the_smme
9532,,RealPercinO
9533,,the_smme
9534,,the_smme
9535,,EasestyleB
9536,,the_smme
9537,,the_smme
9538,,the_smme
9539,,ezobkghwari
9540,,the_smme
9541,,the_smme
9542,,the_smme
9543,,GeoffMakhubo
9544,,mlungisi_baso
9545,,Eskom_SA
9546,,_iamsoso
9547,,JHBWater
9548,,CityofJoburgZA
9549,,Chevy_the_one
9550,,JHBWater
9551,,JHBWater
9552,,RaykieFlaykie
9553,,Zetsaid
9554,,CleanerJoburg
9555,,mphomoerane
9556,,ErnstNr4
9557,,JoburgParksZoo
9558,,Thane_HRH
9559,,JHBWater
9560,,Rankune
9561,,GeoffMakhubo
9562,,JHBWater
9563,,BigginsTc
9564,,MsP79800923
9565,,CleanerJoburg
9566,,CruzVirato
9567,,CoJPublicSafety
9568,,CleanerJoburg
9569,,ShonamalangaZA
9570,,JDA_joburg
9571,,JDA_joburg
9572,,SueNyathi
9573,,JoburgFinance
9574,,MatongoMmc
9575,,CityofJoburgZA
9576,,Nathie_Sangweni
9577,,jhbproperty
9578,,mdwalstra
9579,,Ebrahim027
9580,,JHBWater
9581,,JoburgMPD
9582,,CityofJoburgZA
9583,,jula_musa
9584,,JHBWater
9585,,MorenaMotaung11
9586,,MatongoMmc
9587,,JoburgFinance
9588,,JHBWater
9589,,JHBWater
9590,,OfentseFetchu
9591,,JHBWater
9592,,trekpostal
9593,,MyJRA
9594,,MyJRA
9595,,GeoffMakhubo
9596,,CityofJoburgZA
9597,,CityofJoburgZA
9598,,CityPowerJhb
9599,,CoJDevPlanning
9600,,SLadiesTour
9601,,moniquesmitgolf
9602,,AIGWBO
9603,,JoburgFinance
9604,,JoburgFinance
9605,,Dullci1
9606,,MatongoMmc
9607,,CityPowerJhb
9608,,Sizo345
9609,,SayEntrepreneur
9610,,CityPowerJhb
9611,,JoburgParksZoo
9612,,ReloMabote
9613,,CleanerJoburg
9614,,deptoflabour
9615,,CityPowerJhb
9616,,MbalulaFikile
9617,,PrinceNdamase
9618,,CityofJoburgZA
9619,,MbalulaFikile
9620,,realFauda
9621,,JoburgFinance
9622,,debasties
9623,,pthlela
9624,,arriemorrie
9625,,ACosmiq
9626,,NationalCoGTA
9627,,JoburgMPD
9628,,ACosmiq
9629,,jenny_katz
9630,,Ningi_carmelo
9631,,danisatshawe
9632,,D_elleriously
9633,,the_smme
9634,,the_smme
9635,,SandileSeadimo
9636,,Sir_Zuma_sa
9637,,the_smme
9638,,the_smme
9639,,the_smme
9640,,CityPowerJhb
9641,,CityPowerJhb
9642,,Eskom_SA
9643,,Eskom_SA
9644,,BrandingVulu
9645,,CityofJoburgZA
9646,,CityPowerJhb
9647,,MarleyNchadi
9648,,DanyMacak
9649,,JHBWater
9650,,Loyiso_Masuku
9651,,GeoffMakhubo
9652,,CityofJoburgZA
9653,,Schoolb73872593
9654,,Zureehairandbe1
9655,,LikeanP
9656,,CityofJoburgZA
9657,,MkabelaGroup
9658,,SifisoMkabela
9659,,SayEntrepreneur
9660,,TownshipBrands
9661,,BalwinProp
9662,,Tiger_Nims
9663,,CityofJoburgZA
9664,,convert_3
9665,,AmoZee_byZee
9666,,CanyanF
9667,,SayEntrepreneur
9668,,TownshipBrands
9669,,TheHustlersCSA
9670,,the_smme
9671,,MwaAfrikaTechn1
9672,,the_smme
9673,,Afrocandy83
9674,,the_smme
9675,,the_smme
9676,,sthembete
9677,,iitafile
9678,,BrandMkono
9679,,2Mkono
9680,,LaundryMokgotsi
9681,,WCCA
9682,,CityPowerJhb
9683,,CityPowerJhb
9684,,CityPowerJhb
9685,,Fundi__
9686,,CityofJoburgZA
9687,,Mashstartup
9688,,CityofJoburgZA
9689,,LLintFREIGHT
9690,,Koovsjas
9691,,noxiousdeejay
9692,,TownshipBrands
9693,,Bailys_
9694,,TownshipBrands
9695,,stv_dj
9696,,TownshipBrands
9697,,UmuziOrg
9698,,Peace__Makinita
9699,,workshopnewtown
9700,,bathu_sa
9701,,TownshipBrands
9702,,MowashZA
9703,,TownshipBrands
9704,,Yoco_ZA
9705,,ikhekhe_shop
9706,,TownshipBrands
9707,,LekauSehoana
9708,,TownshipBrands
9709,,Saclassycouture
9710,,TownshipBrands
9711,,Mashstartup
9712,,hustlevill
9713,,BuyLocalZA
9714,,SayEntrepreneur
9715,,ekasiEntreprene
9716,,ezobkghwari
9717,,TownshipBrands
9718,,TBrandsStore
9719,,TownshipBrands
9720,,MojaChicken
9721,,TownshipBrands
9722,,SpeleteL
9723,,TownshipBrands
9724,,KonkheC
9725,,TownshipBrands
9726,,smccollection
9727,,TownshipBrands
9728,,KonkheC
9729,,TownshipBrands
9730,,AfricanArmor
9731,,TownshipBrands
9732,,MizaDaDawn
9733,,DripLokal
9734,,UnrecognizedArt
9735,,TumeloBoya
9736,,MkabelaGroup
9737,,TownshipBrands
9738,,SayEntrepreneur
9739,,BalwinProp
9740,,TownshipBrands
9741,,TBrandsStore
9742,,TownshipBrands
9743,,CityofJoburgZA
9744,,CityofJoburgZA
9745,,margiedgander
9746,,Coceka_Sink
9747,,COVID_19_ZA
9748,,djsbu
9749,,WHOAFRO
9750,,GautengHealth
9751,,MbalulaFikile
9752,,DrZweliMkhize
9753,,ULINDXLWE
9754,,ksx99
9755,,MyJRA
9756,,JoburgMPD
9757,,CleanerJoburg
9758,,CityofJoburgZA
9759,,MkabelaGroup
9760,,CityofJoburgZA
9761,,SifisoMkabela
9762,,SayEntrepreneur
9763,,TownshipBrands
9764,,BalwinProp
9765,,Tlotsa_Soweto
9766,,SiphoKolanisi1
9767,,CleanerJoburg
9768,,tattoosbysihle
9769,,Philan_Mbatha
9770,,ZinhleMbatha120
9771,,djsbu
9772,,MaropengPaball0
9773,,AfricaFactsZone
9774,,MaropengPaball0
9775,,Mutale_Sitali
9776,,convert_3
9777,,totallynotshido
9778,,RonaldRikhotso1
9779,,nsovo__
9780,,MkabelaGroup
9781,,SifisoMkabela
9782,,SayEntrepreneur
9783,,TownshipBrands
9784,,BalwinProp
9785,,SuchaBeardo
9786,,Tlhogi_mm
9787,,ShEiGo_De_G
9788,,Oteng_Lamola
9789,,tspotbzy
9790,,Favelo_sa
9791,,AndileMlondo
9792,,SirPrinceJHB
9793,,Thembaaaaa
9794,,Tabiasongbird
9795,,inno_trc
9796,,BuiltCentre
9797,,LoyisoJantjies
9798,,CityofJoburgZA
9799,,CityPowerJhb
9800,,stwatwaZN
9801,,JHBWater
9802,,DrAmandaBowen
9803,,DavidWard126
9804,,CityofJoburgZA
9805,,JHBWater
9806,,AnsieNaude3
9807,,CityofJoburgZA
9808,,RdptRecord
9809,,afrikaleo24
9810,,anelisa_tuswa
9811,,bludenim_
9812,,MajestyKagiso
9813,,JHBWater
9814,,CityPowerJhb
9815,,JustinBowenZA
9816,,CityPowerJhb
9817,,Hot919fm
9818,,Ellen50530048
9819,,ekasiEntreprene
9820,,Loyiso_Masuku
9821,,CityofJoburgZA
9822,,MatongoMmc
9823,,CityofJoburgZA
9824,,CityofJoburgZA
9825,,CityofJoburgZA
9826,,CityofJoburgZA
9827,,CityofJoburgZA
9828,,CityofJoburgZA
9829,,CityofJoburgZA
9830,,JoburgMPD
9831,,CityofJoburgZA
9832,,ReaVayaBus
9833,,CityofJoburgZA
9834,,CityofJoburgZA
9835,,takatso_moloi
9836,,Hlekito
9837,,eThekwiniM
9838,,Eskom_SA
9839,,BernethKoopman
9840,,JHBWater
9841,,ksx99
9842,,MyJRA
9843,,JoburgMPD
9844,,maselaelo_p
9845,,Eskom_SA
9846,,BrandyAndCoke2
9847,,KatlegoNkadime2
9848,,SiwaMyataza
9849,,spora1
9850,,Loyiso_Masuku
9851,,RadebeXF
9852,,CityPowerJhb
9853,,CityPowerJhb
9854,,kubz001
9855,,Plan_and_Use
9856,,CityofJoburgZA
9857,,adtotweet
9858,,adtotweet
9859,,Plan_and_Use
9860,,CityofJoburgZA
9861,,TriumphantZoeP
9862,,NationalCoGTA
9863,,NengstarC
9864,,FamiliaBrands
9865,,MhuteKudakwashe
9866,,atblksuppliers
9867,,CityofJoburgZA
9868,,CityofJoburgZA
9869,,Shirto
9870,,AfroWestMedia
9871,,SoomeshanP
9872,,ekasiEntreprene
9873,,ekasiEntreprene
9874,,ekasiEntreprene
9875,,ekasiEntreprene
9876,,KwenaLR
9877,,inno_trc
9878,,BuiltCentre
9879,,BamboThulani
9880,,maselaelo_p
9881,,Eskom_SA
9882,,ekasiEntreprene
9883,,Sesi_Kgomotso
9884,,ksx99
9885,,Sammy_malisa
9886,,_DOCS_
9887,,Loyiso_Masuku
9888,,IamCubeSOUL
9889,,CityPowerJhb
9890,,SAWeatherServic
9891,,Eskom_SA
9892,,PetlaneLesego
9893,,Pearl_Ndlazi
9894,,PetlaneLesego
9895,,Pearl_Ndlazi
9896,,BrandyAndCoke2
9897,,KevTheD3v
9898,,EskomSePush
9899,,RDominiqueMM
9900,,kingmon31715719
9901,,GazGesh
9902,,Spiwo
9903,,ZAntrepreneur
9904,,TLSNkosi
9905,,This_Kate
9906,,ZikhonaTshona
9907,,ZikhonaTshona
9908,,This_Kate
9909,,FeaturingMe
9910,,NhlanhlaBNdaba
9911,,MissModise
9912,,NandosSA
9913,,NkweMashamaite
9914,,MurielMakulana
9915,,mfazomnyama_
9916,,mikadori
9917,,CityPowerJhb
9918,,NtombiPrue
9919,,JoburgParksZoo
9920,,Ke_Phindi
9921,,skyflymaluleke
9922,,mikadori
9923,,CityPowerJhb
9924,,Pearl_Ndlazi
9925,,sagirl24
9926,,CityPowerJhb
9927,,CityPowerJhb
9928,,Mhandla_B
9929,,ZikhonaTshona
9930,,TkizyMudau
9931,,Ke_Phindi
9932,,HowardB70
9933,,sagirl24
9934,,CityPowerJhb
9935,,Thagalu
9936,,NiniMthimkulu
9937,,Eskom_SA
9938,,JeleSimo
9939,,Eskom_SA
9940,,News24
9941,,eNCA
9942,,CityPowerJhb
9943,,CityTshwane
9944,,GovernmentZA
9945,,City_Ekurhuleni
9946,,EmfuleniLM
9947,,ewnupdates
9948,,MissLynnM_ZA
9949,,NhlanhlaBNdaba
9950,,kevtintinwright
9951,,Lawrence_VAS
9952,,Real_Liberty_SM
9953,,CityofCT
9954,,CityofCT
9955,,baffaloman30
9956,,BrandyAndCoke2
9957,,TkizyMudau
9958,,websterj81
9959,,Phutipc
9960,,Sweetpe88084627
9961,,D_elleriously
9962,,BrandyAndCoke2
9963,,1Mothowamodimo
9964,,ZikhonaTshona
9965,,Hluvuko_za
9966,,Lawrence_VAS
9967,,CityofJoburgZA
9968,,baffaloman30
9969,,TiyaniBaadjie
9970,,ModikanaMammila
9971,,SM_Msiza
9972,,Jakey_wags
9973,,SonwabileNtlok4
9974,,Ngwenyab12
9975,,xplawbug
9976,,denise_c_m
9977,,Niren_
9978,,Waltersonboy
9979,,kabelodick
9980,,denise_c_m
9981,,Niren_
9982,,_DOCS_
9983,,Lyza_Lu
9984,,yazeed02_
9985,,LostDreamz_20
9986,,CityPowerJhb
9987,,GreensideRA
9988,,SM_Msiza
9989,,Melia16076943
9990,,CityPowerJhb
9991,,GeoffMakhubo
9992,,David_Makhura
9993,,Spiwo
9994,,ZikhonaTshona
9995,,x_da1
9996,,Khindi_Rakoma
9997,,_DOCS_
9998,,Waltersonboy
9999,,kabelodick
10000,,collenmphabants
10001,,shandu009
10002,,Khamilion23
10003,,Niren_
10004,,NiniMthimkulu
10005,,Eskom_SA
10006,,CityPowerJhb
10007,,CityPowerJhb
10008,,CityPowerJhb
10009,,CityPowerJhb
10010,,CityofJoburgEMS
10011,,ewnreporter
10012,,JHBWater
10013,,CityPowerJhb
10014,,CityPowerJhb
10015,,lubabalosidiya
10016,,CoJPublicSafety
10017,,MMCMallyMokoena
10018,,GeoffMakhubo
10019,,JoburgMPD
10020,,Keitu_Letebele
10021,,Prathmeshndesai
10022,,Eskom_SA
10023,,CityPowerJhb
10024,,EskomSePush
10025,,Eskom_SA
10026,,News24
10027,,eNCA
10028,,CityPowerJhb
10029,,CityPowerJhb
10030,,moregish
10031,,jen_pillay
10032,,JHBWater
10033,,Aydonne
10034,,Estate1234e
10035,,Eskom_SA
10036,,CityPowerJhb
10037,,Nicci76000661
10038,,pmothulwe_S
10039,,mbalisto28
10040,,CityPowerJhb
10041,,Aydonne
10042,,Estate1234e
10043,,Eskom_SA
10044,,CityPowerJhb
10045,,pmothulwe_S
10046,,pmothulwe_S
10047,,CityofJoburgZA
10048,,CityofJoburgZA
10049,,CityofJoburgZA
10050,,CityofJoburgZA
10051,,CityofJoburgZA
10052,,CityofJoburgZA
10053,,CityofJoburgZA
10054,,CityofJoburgZA
10055,,CityofJoburgZA
10056,,CityofJoburgZA
10057,,CityofJoburgZA
10058,,CityofJoburgZA
10059,,CityofJoburgZA
10060,,CityofJoburgZA
10061,,CityofJoburgZA
10062,,CityofJoburgZA
10063,,CityofJoburgZA
10064,,CityofJoburgZA
10065,,ReaVayaBus
10066,,CityofJoburgZA
10067,,CityofJoburgZA
10068,,CityofJoburgZA
10069,,CityofJoburgZA
10070,,CityofJoburgZA
10071,,CityofJoburgZA
10072,,CityPowerJhb
10073,,CityofJoburgZA
10074,,CityofJoburgZA
10075,,CityofJoburgZA
10076,,CityofJoburgZA
10077,,CityofJoburgZA
10078,,CityofJoburgZA
10079,,CityofJoburgZA
10080,,CityofJoburgZA
10081,,CityofJoburgZA
10082,,CityofJoburgZA
10083,,CityofJoburgZA
10084,,CityofJoburgZA
10085,,CityPowerJhb
10086,,CityofJoburgZA
10087,,CleanerJoburg
10088,,CityofJoburgZA
10089,,ReaVayaBus
10090,,PeterTheron8
10091,,MatongoMmc
10092,,BillyMoalosi
10093,,JoburgMPD
10094,,MatongoMmc
10095,,ChauchauNtsako
10096,,MulaloMlalo
10097,,CoJhousing
10098,,GeoffMakhubo
